Ticker,Company Name,monthly_return,capm_beta,book_price,CAP,GPM
DDD,3D Systems Corporation,-6.02,1.5556476,0.43630764,1523.9963,48.936516
MMM,3M Company,4.5,1.0791563,0.07497065,125018.13,49.73928
EGHT,"8x8, Inc.",-1.81,0.36695385,0.23626265,1241.359,75.4866
AOS,A. O. Smith Corporation,-1.52,1.5368932,0.1475787,11333.753,41.665737
SHLM,"A. Schulman, Inc.",9.18,1.6007868,0.033661086,1006.2639,16.560259
AAON,"AAON, Inc.",-0.15,0.9945819,0.111731015,1810.3877,30.544535
AIR,AAR CORP.,0.95,1.329613,0.68425846,1308.0226,15.495584
AAN,"Aaron's, Inc.",-11.4,0.23478556,0.56349385,3087.2737,47.568268
ABAX,"Abaxis, Inc.",4.41,0.86014116,0.24403262,1011.5011,56.53816
ABT,Abbott Laboratories,-0.36,1.5645367,0.25713095,92878.45,53.9203
ABBV,"AbbVie, Inc.",-0.32,1.5374631,0.03225621,141618.03,77.32272
ANF,Abercrombie & Fitch Co. Class A,-5.59,0.7387251,1.3664272,983.2485,54.917397
ABMD,"ABIOMED, Inc.",8.02,0.2334858,0.053655412,7452.2524,84.139595
ABM,ABM Industries Incorporated,-0.51,0.8017362,0.4173981,2327.1597,9.646826
ACHC,"Acadia Healthcare Company, Inc.",-23.59,0.8902898,0.7973848,4157.275,22.43498
AKR,Acadia Realty Trust,-2.25,0.63699126,0.6750491,2394.9314,32.92478
ACN,Accenture Plc Class A,2.45,1.0839547,0.086217076,83143.29,29.468716
ACET,Aceto Corporation,-7.6,1.3860794,1.3452454,343.42462,20.11098
ACIW,"ACI Worldwide, Inc.",2.51,1.3153073,0.2671828,2694.7366,46.85945
ACOR,"Acorda Therapeutics, Inc.",6.97,1.6923978,0.54729867,1103.055,79.19384
ATVI,"Activision Blizzard, Inc.",-0.65,1.060696,0.18678088,48773.227,64.2099
ATU,Actuant Corporation Class A,-1.37,1.636122,0.34185377,1529.8734,33.099937
AYI,"Acuity Brands, Inc.",-2.85,1.4434704,0.23708141,7171.808,43.636253
ACXM,Acxiom Corporation,0.22,1.2773272,0.37514505,1951.589,45.73273
ADBE,Adobe Systems Incorporated,9.62,1.0545936,0.085763335,73526.94,84.60414
ATGE,Adtalem Global Education Inc.,0.83,0.946706,0.724218,2193.805,48.4048
ADTN,"ADTRAN, Inc.",-8.68,0.6995666,0.4688464,1145.928,45.75262
AAP,"Advance Auto Parts, Inc.",-12.79,0.9057104,0.48375487,7327.1685,44.972427
AEIS,"Advanced Energy Industries, Inc.",1.96,1.3499447,0.11653605,3200.0344,50.719864
AMD,"Advanced Micro Devices, Inc.",-10.43,2.4677954,0.040502485,12303.75,23.361423
ASIX,"AdvanSix, Inc.",9.58,4.01959,0.15269062,1211.6979,10.187967
ACM,AECOM,-4.41,1.7009102,0.6239907,5741.6113,3.6920867
AEGN,Aegion Corporation,-0.98,1.6732566,0.7188538,760.6465,20.745798
AJRD,"Aerojet Rocketdyne Holdings, Inc.",-7.55,1.4263467,0.015787046,2454.201,9.595187
AVAV,"AeroVironment, Inc.",-4.64,1.2341374,0.31594327,1290.2369,38.890327
AES,AES Corporation,-2.94,1.2271341,0.398738,7277.46,17.654917
